start,duration,confidence,pitch,chroma
6.14159,0.22073,0.21,1.0,"G (also F#, A#)"
6.14159,0.22073,0.21,0.167,"G♯, A♭"
6.14159,0.22073,0.21,0.077,"A (also G#, B#)"
6.14159,0.22073,0.21,0.675,"A♯, B♭ (also C#)"
6.14159,0.22073,0.21,0.072,"B (also A#, C♭)"
6.36231,0.17351,0.152,0.159,"C (also B♯, D#)"
6.36231,0.17351,0.152,0.287,"C♯, D♭ (also B#)"
6.36231,0.17351,0.152,0.102,"D (also C#, E#)"
6.36231,0.17351,0.152,0.073,"D♯, E♭ (also F#)"
6.36231,0.17351,0.152,0.034,"E (also D#, F♭)"
6.36231,0.17351,0.152,0.123,"F (also E♯, G#)"
6.36231,0.17351,0.152,0.162,"F♯, G♭ (also E#)"
6.36231,0.17351,0.152,1.0,"G (also F#, A#)"
6.36231,0.17351,0.152,0.094,"G♯, A♭"
6.36231,0.17351,0.152,0.066,"A (also G#, B#)"
6.36231,0.17351,0.152,0.55,"A♯, B♭ (also C#)"
6.36231,0.17351,0.152,0.016,"B (also A#, C♭)"
6.53583,0.13796,0.193,0.055,"C (also B♯, D#)"
6.53583,0.13796,0.193,0.081,"C♯, D♭ (also B#)"
6.53583,0.13796,0.193,0.07,"D (also C#, E#)"
6.53583,0.13796,0.193,0.148,"D♯, E♭ (also F#)"
6.53583,0.13796,0.193,0.033,"E (also D#, F♭)"
6.53583,0.13796,0.193,0.091,"F (also E♯, G#)"
6.53583,0.13796,0.193,0.259,"F♯, G♭ (also E#)"
6.53583,0.13796,0.193,1.0,"G (also F#, A#)"
6.53583,0.13796,0.193,0.235,"G♯, A♭"
6.53583,0.13796,0.193,0.104,"A (also G#, B#)"
6.53583,0.13796,0.193,0.54,"A♯, B♭ (also C#)"
6.53583,0.13796,0.193,0.032,"B (also A#, C♭)"
6.67379,0.37927,0.805,0.266,"C (also B♯, D#)"
6.67379,0.37927,0.805,0.44,"C♯, D♭ (also B#)"
6.67379,0.37927,0.805,0.251,"D (also C#, E#)"
6.67379,0.37927,0.805,0.122,"D♯, E♭ (also F#)"
6.67379,0.37927,0.805,0.107,"E (also D#, F♭)"
6.67379,0.37927,0.805,0.377,"F (also E♯, G#)"
6.67379,0.37927,0.805,1.0,"F♯, G♭ (also E#)"
6.67379,0.37927,0.805,0.875,"G (also F#, A#)"
6.67379,0.37927,0.805,0.165,"G♯, A♭"
6.67379,0.37927,0.805,0.054,"A (also G#, B#)"
6.67379,0.37927,0.805,0.791,"A♯, B♭ (also C#)"
6.67379,0.37927,0.805,0.083,"B (also A#, C♭)"
7.05306,0.14127,0.595,0.092,"C (also B♯, D#)"
7.05306,0.14127,0.595,0.278,"C♯, D♭ (also B#)"
7.05306,0.14127,0.595,0.074,"D (also C#, E#)"
7.05306,0.14127,0.595,0.084,"D♯, E♭ (also F#)"
7.05306,0.14127,0.595,0.091,"E (also D#, F♭)"
7.05306,0.14127,0.595,0.39,"F (also E♯, G#)"
7.05306,0.14127,0.595,1.0,"F♯, G♭ (also E#)"
7.05306,0.14127,0.595,0.225,"G (also F#, A#)"
7.05306,0.14127,0.595,0.099,"G♯, A♭"
7.05306,0.14127,0.595,0.126,"A (also G#, B#)"
7.05306,0.14127,0.595,0.661,"A♯, B♭ (also C#)"
7.05306,0.14127,0.595,0.032,"B (also A#, C♭)"
7.19433,0.18943,0.657,0.195,"C (also B♯, D#)"
7.19433,0.18943,0.657,0.201,"C♯, D♭ (also B#)"
7.19433,0.18943,0.657,0.03,"D (also C#, E#)"
7.19433,0.18943,0.657,0.104,"D♯, E♭ (also F#)"
7.19433,0.18943,0.657,0.021,"E (also D#, F♭)"
7.19433,0.18943,0.657,0.295,"F (also E♯, G#)"
7.19433,0.18943,0.657,1.0,"F♯, G♭ (also E#)"
7.19433,0.18943,0.657,0.119,"G (also F#, A#)"
7.19433,0.18943,0.657,0.122,"G♯, A♭"
7.19433,0.18943,0.657,0.124,"A (also G#, B#)"
7.19433,0.18943,0.657,0.783,"A♯, B♭ (also C#)"
7.19433,0.18943,0.657,0.054,"B (also A#, C♭)"
7.38376,0.34785,0.483,0.092,"C (also B♯, D#)"
7.38376,0.34785,0.483,0.335,"C♯, D♭ (also B#)"
7.38376,0.34785,0.483,0.025,"D (also C#, E#)"
7.38376,0.34785,0.483,0.024,"D♯, E♭ (also F#)"
7.38376,0.34785,0.483,0.017,"E (also D#, F♭)"
7.38376,0.34785,0.483,0.139,"F (also E♯, G#)"
7.38376,0.34785,0.483,1.0,"F♯, G♭ (also E#)"
7.38376,0.34785,0.483,0.071,"G (also F#, A#)"
7.38376,0.34785,0.483,0.046,"G♯, A♭"
7.38376,0.34785,0.483,0.032,"A (also G#, B#)"
7.38376,0.34785,0.483,0.671,"A♯, B♭ (also C#)"
7.38376,0.34785,0.483,0.043,"B (also A#, C♭)"
7.73161,0.09442,0.292,0.082,"C (also B♯, D#)"
7.73161,0.09442,0.292,0.37,"C♯, D♭ (also B#)"
7.73161,0.09442,0.292,0.041,"D (also C#, E#)"
7.73161,0.09442,0.292,0.028,"D♯, E♭ (also F#)"
7.73161,0.09442,0.292,0.038,"E (also D#, F♭)"
7.73161,0.09442,0.292,0.566,"F (also E♯, G#)"
7.73161,0.09442,0.292,1.0,"F♯, G♭ (also E#)"
7.73161,0.09442,0.292,0.313,"G (also F#, A#)"
7.73161,0.09442,0.292,0.06,"G♯, A♭"
7.73161,0.09442,0.292,0.199,"A (also G#, B#)"
7.73161,0.09442,0.292,0.615,"A♯, B♭ (also C#)"
7.73161,0.09442,0.292,0.103,"B (also A#, C♭)"
7.82603,0.2142,0.4,0.077,"C (also B♯, D#)"
7.82603,0.2142,0.4,0.166,"C♯, D♭ (also B#)"
7.82603,0.2142,0.4,0.066,"D (also C#, E#)"
7.82603,0.2142,0.4,0.199,"D♯, E♭ (also F#)"
7.82603,0.2142,0.4,0.034,"E (also D#, F♭)"
7.82603,0.2142,0.4,0.228,"F (also E♯, G#)"
7.82603,0.2142,0.4,1.0,"F♯, G♭ (also E#)"
7.82603,0.2142,0.4,0.074,"G (also F#, A#)"
7.82603,0.2142,0.4,0.067,"G♯, A♭"
7.82603,0.2142,0.4,0.068,"A (also G#, B#)"
